"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jul 15 17:17:45 GMT 2023","Sat Jul 15 17:17:56 GMT 2023","10739","chromium","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","Chech route on Education Menu",""
"passed","Sat Jul 15 17:17:56 GMT 2023","Sat Jul 15 17:18:03 GMT 2023","6413","chromium","","US_11.03.05 | Educations > Menu item [Swing Trading]","","","Click on Swing Trading",""
